Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [Genome reference]
2dba3f3d-200f-4a48-ac3d-bd5d8c3d518a	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	5775041086_R01C01_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A01W-01A-21D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A01W-01A-21D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
2dba3f3d-200f-4a48-ac3d-bd5d8c3d518a	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	5775041086_R01C01_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A01W-01A-21D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01W-01A-21D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A01W-01A-21D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
70665997-8552-4d77-a767-8752e0125142	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	5775041086_R04C01_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A01Y-01A-41D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A01Y-01A-41D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
70665997-8552-4d77-a767-8752e0125142	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	5775041086_R04C01_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A01Y-01A-41D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A01Y-01A-41D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A01Y-01A-41D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
e2ebe633-e76f-4e04-bfe0-a6711027e8e0	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	5775041086_R02C02_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A026-01A-32D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A026-01A-32D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
e2ebe633-e76f-4e04-bfe0-a6711027e8e0	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	5775041086_R02C02_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A026-01A-32D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A026-01A-32D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A026-01A-32D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
1432e383-1299-46d7-a33c-a70546119891	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	5775041086_R03C02_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A02N-01A-11D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A02N-01A-11D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
1432e383-1299-46d7-a33c-a70546119891	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	5775041086_R03C02_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A02N-01A-11D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A02N-01A-11D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A02N-01A-11D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
15c43703-94bf-48f2-9698-f46735d448c0	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	5775041086_R05C02_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A036-01A-12D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A036-01A-12D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
15c43703-94bf-48f2-9698-f46735d448c0	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	5775041086_R05C02_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.1.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-2.TCGA-AG-A036-01A-12D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.1.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-AG-A036-01A-12D-A081-05	jhu-usc.edu_READ.HumanMethylation450.1.lvl-3.TCGA-AG-A036-01A-12D-A081-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.1.3.0	DNA Methylation	Level 3	yes	HG19
539a6d8f-b141-466c-a728-166e3d4dc017	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	6055424040_R04C01_Grn.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.3.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu_READ.HumanMethylation450.3.lvl-2.TCGA-EI-6508-01A-11D-1734-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.3.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu_READ.HumanMethylation450.3.lvl-3.TCGA-EI-6508-01A-11D-1734-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.3.3.0	DNA Methylation	Level 3	yes	HG19
539a6d8f-b141-466c-a728-166e3d4dc017	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	6055424040_R04C01_Red.idat	jhu-usc.edu_READ.HumanMethylation450.Level_1.3.3.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu_READ.HumanMethylation450.3.lvl-2.TCGA-EI-6508-01A-11D-1734-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_2.3.3.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-EI-6508-01A-11D-1734-05	jhu-usc.edu_READ.HumanMethylation450.3.lvl-3.TCGA-EI-6508-01A-11D-1734-05.txt	jhu-usc.edu_READ.HumanMethylation450.Level_3.3.3.0	DNA Methylation	Level 3	yes	HG19
